sensorId,product,floor,building,timezoneOffset,name,posX,posY,height,width,capacity,workspace,client,placement
63a29d3ffc65380012e9e31f,scorpioroom,Ground Floor,TOWER 8,19800000,Segment 13,712,55,200,76,15,Room,mcm,Indoor
63a29d3ffc65380012e9e321,scorpioroom,Ground Floor,TOWER 8,19800000,Segment 15,478,272,126,103,15,Room,mcm,Indoor
63a29d3ffc65380012e9e323,scorpioroom,Ground Floor,TOWER 8,19800000,Segment 20,390,264,122,68,15,Room,mcm,Indoor
63a29d3ffc65380012e9e325,scorpioroom,Ground Floor,TOWER 8,19800000,Segment 3,821,81,144,103,15,Room,mcm,Indoor
63a29d3ffc65380012e9e327,scorpioroom,Ground Floor,TOWER 8,19800000,Segment 6,933,210,128,186,15,Room,mcm,Indoor
63a29d3ffc65380012e9e329,scorpioroom,Ground Floor,TOWER 8,19800000,Segment 14,597,45,190,79,15,Room,mcm,Indoor
63a29d3ffc65380012e9e32b,scorpioroom,Ground Floor,TOWER 8,19800000,Segment 7,1059,397,60,65,15,Room,mcm,Indoor
63a29d3ffc65380012e9e32d,scorpioroom,Ground Floor,TOWER 8,19800000,Segment 16,487,140,127,93,15,Room,mcm,Indoor
63a29d3ffc65380012e9e32f,scorpioroom,Ground Floor,TOWER 8,19800000,Segment 19,392,136,132,74,15,Room,mcm,Indoor
63a29d3ffc65380012e9e331,scorpioroom,Ground Floor,TOWER 8,19800000,Segment 17,480,8,131,103,15,Room,mcm,Indoor
63a29d3ffc65380012e9e333,scorpioroom,Ground Floor,TOWER 8,19800000,Segment 4,820,335,137,97,15,Room,mcm,Indoor
63a29d3ffc65380012e9e335,scorpioroom,Ground Floor,TOWER 8,19800000,Segment 12,606,312,221,82,15,Room,mcm,Indoor
63a29d3ffc65380012e9e337,scorpioroom,Ground Floor,TOWER 8,19800000,Segment 1,931.6000061,333.8166656,123,192,15,Room,mcm,Indoor
63a29d3ffc65380012e9e339,scorpioroom,Ground Floor,TOWER 8,19800000,Segment 18,394,0,121,72,15,Room,mcm,Indoor
63a29d3ffc65380012e9e33b,scorpioroom,Ground Floor,TOWER 8,19800000,Segment 2,820,197,115,99,15,Room,mcm,Indoor
63a29d3ffc65380012e9e33d,scorpioroom,Ground Floor,TOWER 8,19800000,Segment 10,1048,666,209,68,15,Room,mcm,Indoor
63a29d3ffc65380012e9e33f,scorpioroom,Ground Floor,TOWER 8,19800000,Segment 8,885,504,113,113,15,Room,mcm,Indoor
63a29d3ffc65380012e9e341,scorpioroom,Ground Floor,TOWER 8,19800000,Segment 11,709,304,199,85,15,Room,mcm,Indoor
63a29d3ffc65380012e9e343,scorpioroom,Ground Floor,TOWER 8,19800000,Segment 9,884,617,112,114,15,Room,mcm,Indoor
63a29d3ffc65380012e9e345,scorpioroom,Ground Floor,TOWER 8,19800000,Segment 5,938,76,144,182,15,Room,mcm,Indoor
